#blinkered/attestations/2 language=sr words=46770 sources=12 built=2026-09-23 digest=580fc68838909972
#tokens ebible:srp1868=409158 ebible:srponspc=426374 gut=50386 ia=22225361 lz:srp-me_web_2016_300K=231149 lz:srp-rs_web_2016_1M=2312726 tat=204816 web:nspm.rs=250626 web:politika.rs=389649 web:pravda.rs=207102 web:rastko.rs=88250 web:rtrs.tv=73461 web:standard.rs=640382 wiki:sr=320399920 wikisource:sr=15971408
СЕЛЕЋИ	ebible:srponspc,ia,wiki:sr,wikisource:sr	1,10,39,4	ebible:srponspc:GEN11 ia:bosanskavila01unkngoog/bosanskavila01unkngoog_djvu.txt ia:glasniks09srpsuoft/glasniks09srpsuoft_djvu.txt wiki:sr:24701 wiki:sr:25109 wikisource:sr:11749 wikisource:sr:12209
ТРОЈКУ	ia,lz:srp-rs_web_2016_1M,web:pravda.rs,web:standard.rs,wiki:sr,wikisource:sr	5,4,1,1,208,9	ia:brastvoyug15beoguoft/brastvoyug15beoguoft_djvu.txt ia:recnik-srpskoga-jezika-2011/%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%20%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B8%D1%9B%20(ed.)%20-%20%D0%A0%D0%B5%D1%87%D0%BD%D0%B8%D0%BA%20%D1%81%D1%80%D0%BF%D1%81%D0%BA%D0%BE%D0%B3%D0%B0%20%D1%98%D0%B5%D0%B7%D0%B8%D0%BA%D0%B0%20(Rec%CC%8Cnik%20srpskoga%20jezika)-%D0%9C%D0%B0%D1%82%D0%B8%D1%86%D0%B0%20%D1%81%D1%80%D0%BF%D1%81%D0%BA%D0%B0%20(2011)_djvu.txt lz:srp-rs_web_2016_1M:http://csr-uzice.rs/component/k2/item/118-trece-doba-starost-u-srbiji lz:srp-rs_web_2016_1M:http://www.osmilinkokusic.edu.rs/25-online-nedelja.html web:pravda.rs:https://pravda.rs/srbija/treca-sreca-ili-trica-u-poslednjoj-sekundi-studentima-pripao-broj-tri-na-glasackom-listicu-a-oni-vec-znaju-kako-da-ga-iskoriste-2026-09-18 web:standard.rs:https://standard.rs/2014/04/15/odakle-moze-doci-novac-za-industriju-srbije/ wiki:sr:895 wiki:sr:1234 wikisource:sr:16017 wikisource:sr:17468
ЛЕЊЕ	ia,lz:srp-rs_web_2016_1M,wiki:sr,wikisource:sr	42,1,30,12	ia:01serbgoog/01serbgoog_djvu.txt ia:IstorijaCrneGoreKnjiga3T.1/Istorija%20Crne%20Gore%20-%20Knjiga%203%2C%20T.1_djvu.txt lz:srp-rs_web_2016_1M:http://www.duskoradovic.edu.rs/index.php/design-and-features/layout?id=141 wiki:sr:6693 wiki:sr:62901 wikisource:sr:1441 wikisource:sr:11650
ОРИЈЕНТАЛНЕ	ia,lz:srp-rs_web_2016_1M,web:standard.rs,wiki:sr,wikisource:sr	26,1,2,381,6	ia:IstorijaCrneGoreKnjiga2T.1/Istorija%20Crne%20Gore%20-%20Knjiga%202%2C%20T.1_djvu.txt ia:IstorijaCrneGoreKnjiga3T.1/Istorija%20Crne%20Gore%20-%20Knjiga%203%2C%20T.1_djvu.txt lz:srp-rs_web_2016_1M:http://www.glaspodrinja.rs/vesti/2512/lirski-spomenik web:standard.rs:https://standard.rs/2014/02/28/cedomir-antic-dokle/ web:standard.rs:https://standard.rs/2014/04/17/zoran-cvorovic-sumrak-ideje-prava-na-zapadu/ wiki:sr:160 wiki:sr:1517 wikisource:sr:10378 wikisource:sr:12409
КАМИЛ	ia,lz:srp-rs_web_2016_1M,web:politika.rs,wiki:sr,wikisource:sr	8,2,2,522,5	ia:brankovokolozaz00unkngoog/brankovokolozaz00unkngoog_djvu.txt ia:delolistzanaukuk08beoguoft/delolistzanaukuk08beoguoft_djvu.txt lz:srp-rs_web_2016_1M:http://frontal.rs/index.php?option=btg_novosti=0=8686 lz:srp-rs_web_2016_1M:http://www.kt.gov.rs/cr/news/arhiva-vesti/pripreme-za-lokalne-izbore-u-medvedji/ web:politika.rs:https://www.politika.rs/scc/clanak/787878/sport/golman-juventusa-grabara-operisao-ligamente wiki:sr:2154 wiki:sr:2443 wikisource:sr:12318 wikisource:sr:12338
ПЕГАВОГ	ia,lz:srp-rs_web_2016_1M,wiki:sr,wikisource:sr	2,5,253,2	ia:srpskiknjizevnig15beoguoft/srpskiknjizevnig15beoguoft_djvu.txt ia:toaz.info-klajn-i-ipka-veliki-renik-stranih-rei-i-izraza-pr_0bac45b604e8532f533c6f73636791a3/toaz.info-klajn-i-ipka-veliki-renik-stranih-rei-i-izraza-pr_0bac45b604e8532f533c6f73636791a3_djvu.txt lz:srp-rs_web_2016_1M:http://palilula.rs/koncert-povodom-dana-beograda/ lz:srp-rs_web_2016_1M:http://www.vranjske.co.rs/category/autor/%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%BC%D0%B8%D1%80-%D0%BA%D0%BE%D1%81%D1%82%D0%B8%D1%9B?page=4 wiki:sr:815 wiki:sr:8385 wikisource:sr:10571 wikisource:sr:12341
ИСПЕЧЕМО	ebible:srponspc,ia,lz:srp-rs_web_2016_1M,wiki:sr,wikisource:sr	1,3,1,1,4	ebible:srponspc:GEN11 ia:bosanskavila01unkngoog/bosanskavila01unkngoog_djvu.txt ia:karadzilistzasr01orgoog/karadzilistzasr01orgoog_djvu.txt lz:srp-rs_web_2016_1M:http://www.snp1389.rs/index.php?option=com_content=archive=82=120 wiki:sr:256101 wikisource:sr:1400 wikisource:sr:25612
УГУШИЛО	ebible:srponspc,ia,wiki:sr,wikisource:sr	1,6,16,8	ebible:srponspc:LUK08 ia:brankovokolozaz00unkngoog/brankovokolozaz00unkngoog_djvu.txt ia:delolistzanaukuk66beoguoft/delolistzanaukuk66beoguoft_djvu.txt wiki:sr:952 wiki:sr:1131 wikisource:sr:1441 wikisource:sr:9572
РАЗОЧАРАВА	ebible:srponspc,ia,lz:srp-rs_web_2016_1M,wiki:sr,wikisource:sr	1,3,1,21,3	ebible:srponspc:ROM05 ia:delolistzanaukuk10beoguoft/delolistzanaukuk10beoguoft_djvu.txt ia:srpskiknjizevnig14beoguoft/srpskiknjizevnig14beoguoft_djvu.txt lz:srp-rs_web_2016_1M:http://zavetnici.rs/?p=2611 wiki:sr:8904 wiki:sr:80689 wikisource:sr:10535 wikisource:sr:11659
УТРКИВАТИ	ebible:srp1868,ia,wiki:sr,wikisource:sr	1,9,1,5	ebible:srp1868:JER12 ia:godisnjicanikola17cupiuoft/godisnjicanikola17cupiuoft_djvu.txt ia:javor01ognjgoog/javor01ognjgoog_djvu.txt wiki:sr:4314390 wikisource:sr:15948 wikisource:sr:16184
СМИРИВАЊЕ	ia,lz:srp-rs_web_2016_1M,web:nspm.rs,web:standard.rs,wiki:sr,wikisource:sr	13,4,20,8,112,8	ia:IstorijaCrneGoreKnjiga3T.1/Istorija%20Crne%20Gore%20-%20Knjiga%203%2C%20T.1_djvu.txt ia:istorija-beograda/ISTORIJA%20BEOGRADA_djvu.txt lz:srp-rs_web_2016_1M:http://www.srbijajavlja.rs/2016/12/%d0%b4%d0%be%d0%bd%d0%b5%d1%82%d0%b0-%d0%bf%d1%80%d0%b5%d1%81%d1%83%d0%b4%d0%b0-%d1%88%d0%b5%d1%84%d0%b8%d1%86%d0%b0-%d0%bc%d0%bc%d1%84-%d0%ba%d1%80%d0%b8%d1%81%d1%82%d0%b8%d0%bd-%d0%bb%d0%b0%d0%b3/ lz:srp-rs_web_2016_1M:http://www.ni.rs/2016/04/07/prijem-za-ucenike-pravno-poslovne-skole/ web:nspm.rs:https://nspm.rs/index.php web:nspm.rs:https://www.nspm.rs/ web:standard.rs:https://standard.rs/2014/03/02/milorad-vucelic-drino-vodo/ web:standard.rs:https://standard.rs/2014/03/06/zasto-je-kriza-u-ukrajini-odlican-potez-sad/ wiki:sr:1509 wiki:sr:2205 wikisource:sr:10489 wikisource:sr:10495
ТЕРМОМЕТАР	ia,wiki:sr,wikisource:sr	44,139,12	ia:brankovokolozaz00unkngoog/brankovokolozaz00unkngoog_djvu.txt ia:delolistzanaukuk38beoguoft/delolistzanaukuk38beoguoft_djvu.txt wiki:sr:952 wiki:sr:7889 wikisource:sr:10344 wikisource:sr:15955
ОЛУЈНИМ	ebible:srponspc,ia,lz:srp-rs_web_2016_1M,web:standard.rs,wiki:sr,wikisource:sr	1,2,1,1,35,3	ebible:srponspc:ISA27 ia:recnik-srpskoga-jezika-2011/%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%20%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B8%D1%9B%20(ed.)%20-%20%D0%A0%D0%B5%D1%87%D0%BD%D0%B8%D0%BA%20%D1%81%D1%80%D0%BF%D1%81%D0%BA%D0%BE%D0%B3%D0%B0%20%D1%98%D0%B5%D0%B7%D0%B8%D0%BA%D0%B0%20(Rec%CC%8Cnik%20srpskoga%20jezika)-%D0%9C%D0%B0%D1%82%D0%B8%D1%86%D0%B0%20%D1%81%D1%80%D0%BF%D1%81%D0%BA%D0%B0%20(2011)_djvu.txt ia:srpskiknjizevnig22beoguoft/srpskiknjizevnig22beoguoft_djvu.txt lz:srp-rs_web_2016_1M:http://www.snp.org.rs/enciklopedija/?p=5751 web:standard.rs:https://standard.rs/2014/04/02/zasto-ne-mogu-da-verujem-aleksandru-vucicu/ wiki:sr:138 wiki:sr:15206 wikisource:sr:16158 wikisource:sr:16298
КОТАРИЦОМ	ebible:srp1868,ia,wiki:sr,wikisource:sr	1,6,4,7	ebible:srp1868:NUM06 ia:delolistzanaukuk54beoguoft/delolistzanaukuk54beoguoft_djvu.txt ia:holandska00deamuoft/holandska00deamuoft_djvu.txt wiki:sr:21767 wiki:sr:149981 wikisource:sr:15898 wikisource:sr:17426
БУНДА	ia,lz:srp-rs_web_2016_1M,wiki:sr,wikisource:sr	29,2,38,14	ia:acz9214.0001.001.umich.edu/acz9214.0001.001.umich.edu_djvu.txt ia:bosanskavila00unkngoog/bosanskavila00unkngoog_djvu.txt lz:srp-rs_web_2016_1M:http://www.rtv-vranje.rs/index.php?option=com_k2=item=14511:36-miliona-dinara-za-zastitu-zivotne-sredine-u-narednoj-godini=240 lz:srp-rs_web_2016_1M:https://www.omsgrocka.edu.rs/component/content/frontpage/frontpage?start=210 wiki:sr:219202 wiki:sr:231041 wikisource:sr:15955 wikisource:sr:16162
СЛУЧАЈАН	ia,lz:srp-rs_web_2016_1M,web:nspm.rs,web:politika.rs,web:pravda.rs,web:standard.rs,wiki:sr,wikisource:sr	30,2,1,1,1,2,164,7	ia:00serbgoog/00serbgoog_djvu.txt ia:20250827_20250827_1629/%D0%A1%D0%B2%D0%B5%D1%82%D0%B8%20%D0%BA%D1%80%D0%B0%D1%99%20%D0%BA%D1%83%D0%BB%D1%82%20%D0%A1%D1%82%D0%B5%D1%84%D0%B0%D0%BD%D0%B0%20%D0%94%D0%B5%D1%87%D0%B0%D0%BD%D1%81%D0%BA%D0%BE%D0%B3_djvu.txt lz:srp-rs_web_2016_1M:http://www.unijasprs.org.rs/index.php?option=com_content=view=17678=36 lz:srp-rs_web_2016_1M:http://www.politika.co.rs/scc/clanak/373171/Zoranu-Hr-Radisavljevicu-urucen-Rakic web:nspm.rs:https://nspm.rs/banners/click52.html web:politika.rs:https://www.politika.rs/scc/clanak/787379/sef-cia-se-sastao-sa-zelenskim web:pravda.rs:https://pravda.rs/svet/stigle-prve-prognoze-za-predstojecu-zimu-u-evropi-evo-kako-ce-super-el-ninjo-uticati-na-kolicinu-snega-2026-09-16 web:standard.rs:https://standard.rs/2014/03/31/ruza-cirkovic-sta-ce-da-radi-nemacka/ web:standard.rs:https://standard.rs/2014/03/31/rast-putinovog-uticaja-na-srbiju/ wiki:sr:1050 wiki:sr:11167 wikisource:sr:1579 wikisource:sr:8336
ДОГМИ	ia,lz:srp-rs_web_2016_1M,web:nspm.rs,web:standard.rs,wiki:sr,wikisource:sr	22,1,1,1,137,21	ia:IstorijaCrneGoreKnjiga2T.1/Istorija%20Crne%20Gore%20-%20Knjiga%202%2C%20T.1_djvu.txt ia:IstorijaCrneGoreKnjiga3T.1/Istorija%20Crne%20Gore%20-%20Knjiga%203%2C%20T.1_djvu.txt lz:srp-rs_web_2016_1M:http://mfa.gov.rs/sr/index.php/component/content/article/10901-2013-02-14-14-08-52?lang=cyr web:nspm.rs:https://nspm.rs/savremeni-svet/nacrt-drustvenog-poretka-za-eru-vestacke-inteligencije-suvisan-kapital-suvisan-rad-suvisni-ljudi.html web:standard.rs:https://standard.rs/2014/03/07/vojislav-kostunica-ukrajina-je-pokazala-da-clanstvo-u-eu-nije-dobrovoljno-vec-prisilno/ wiki:sr:1010 wiki:sr:2512 wikisource:sr:7790 wikisource:sr:10230
ПРИМИРЕ	ebible:srponspc,ia,lz:srp-rs_web_2016_1M,wiki:sr,wikisource:sr	1,7,1,3,1	ebible:srponspc:JOB39 ia:backa-vila/Bac%CC%88ka_vila_djvu.txt ia:brankovokolozaz00unkngoog/brankovokolozaz00unkngoog_djvu.txt lz:srp-rs_web_2016_1M:http://www.grocka.rs/grocka-na-smederevskoj-jeseni/ wiki:sr:509453 wiki:sr:1996365 wikisource:sr:13257
ВЕЗАНОСТИ	ia,lz:srp-rs_web_2016_1M,web:standard.rs,wiki:sr,wikisource:sr	17,3,1,293,3	ia:20250827_20250827_1629/%D0%A1%D0%B2%D0%B5%D1%82%D0%B8%20%D0%BA%D1%80%D0%B0%D1%99%20%D0%BA%D1%83%D0%BB%D1%82%20%D0%A1%D1%82%D0%B5%D1%84%D0%B0%D0%BD%D0%B0%20%D0%94%D0%B5%D1%87%D0%B0%D0%BD%D1%81%D0%BA%D0%BE%D0%B3_djvu.txt ia:6.-georgije-ostrogorski-istorija-vizantije_202109/1.%20Georgije%20Ostrogorski%20-%20O%20vizantijskom%20feudalizmu_djvu.txt lz:srp-rs_web_2016_1M:http://www.msk.edu.rs/aktuelnosti/akordeon-fest-2017/arhiva-vesti/26-koncert-vanja-cirkovic-sonja-radojkovic lz:srp-rs_web_2016_1M:http://www.4oktobar.edu.rs/%d0%bf%d1%80%d0%b2%d0%b8-%d0%be%d0%b4-19-%d0%be%d1%81%d0%bd%d0%be%d0%b2%d0%bd%d0%b8%d1%85-%d1%88%d0%ba%d0%be%d0%bb%d0%b0/ web:standard.rs:https://standard.rs/2014/02/27/2-2/ wiki:sr:203 wiki:sr:1652 wikisource:sr:11761 wikisource:sr:56917
